Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,File Under,Credited to,Tags,Youtube Video Link,Slides Link
Aptiv Autonomous Mobility,aptiv-autonomous-mobility,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a466ddd5d1a1007a031396,false,false,Wed May 19 2021 01:16:13 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:16:13 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Karl Iagnemma,"President, Aptiv Autonomous Mobility",https://www.youtube.com/watch?v=p5AtrKqQ3Fw&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Aurora,aurora,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a467aa038f2f6cc1f9501e,false,false,Wed May 19 2021 01:19:38 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:19:38 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:21:00 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Sterling Anderson,"Co-Founder, Aurora",https://www.youtube.com/watch?v=HKBhP9JISF0&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Complete Statistical Theory of Learning,complete-statistical-theory-of-learning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a3951b4926c67c73b93f44,false,false,Tue May 18 2021 10:21:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:21:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2020,Vladimir Vapnik,Columbia University,https://www.youtube.com/watch?v=Ow25mjFjSmg&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_10_vladimir_vapnik_theory_of_learning.pdf
Computer Vision,computer-vision,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a456029d656c06bd06373f,false,false,Wed May 19 2021 00:04:18 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:04:18 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:05:22 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,MIT,https://www.youtube.com/watch?v=CLOAswsxudo&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/a5iqp1df5j1xydj/computer_vision_2018.pdf?dl=0
Convolutional Neural Networks,convolutional-neural-networks,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a464ba89b04359ac581853,false,false,Wed May 19 2021 01:07:06 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:06 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=U1toUkZw6VI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/dy9r29ff0gt215j/convolutional_neural_networks_2017.pdf?dl=0
Deep Learning,deep-learning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a451d40d9487cb24b92461,false,false,Tue May 18 2021 23:46:28 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 23:46:28 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 23:54:21 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,MIT,https://www.youtube.com/watch?v=-6INDaLcuJY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/v8yfrydyrkzsm8q/deep_learning_2018.pdf?dl=0
Deep Learning Basics,deep-learning-basics,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a395666d171f363a9b9b9b,false,false,Tue May 18 2021 10:22:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2019,Lex Fridman,MIT,https://www.youtube.com/watch?v=O5xeyoRL95U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/c0g3sc1shi63x3q/deep_learning_basics.pdf?dl=0
Deep Learning for Human Sensing,deep-learning-for-human-sensing,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a45637c9835d6b116a7474,false,false,Wed May 19 2021 00:05:11 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:05:11 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:05:22 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,MIT,https://www.youtube.com/watch?v=Z2GfE8pLyxc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/phg3r7699tuo9ap/human_sensing_2018.pdf?dl=0
Deep Learning for Human-Sensing,deep-learning-for-human-sensing-2,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a4652a42b4054072c8e94d,false,false,Wed May 19 2021 01:08:58 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:08:58 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=ByZF8_-OJNI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/ox0tp0axtrq1f5e/human_sensing_2017.pdf?dl=0
Deep Learning for Self-Driving Cars,deep-learning-for-self-driving-cars,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a464662eb2694d44e49655,false,false,Wed May 19 2021 01:05:42 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:05:42 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=1L0TKZQcUtA&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/wo8tdnifmtqmmrm/deep_learning_self_driving_cars_2017.pdf?dl=0
