Title,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Summary,Thumbnal,Video Link,Paper Link,Scholar Link,Bibtex,Website Link
 Active Authentication on Mobile Devices,active-authentication-on-mobile-devices,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a471d71c1bfb772dcd6939,false,false,Wed May 19 2021 02:03:03 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:03:03 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:03:17 GMT+0000 (Coordinated Universal Time),An approach for verifying the identity of a smartphone user with with four biometric modalities. We evaluate the approach by collecting real-world behavioral biometrics data from smartphones of 200 subjects over a period of at least 30 days.,https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a471b8ef2bd8a1a31a9c94_2015_active_authentication_on_mobile_devices_via_stylometry.png,,https://arxiv.org/pdf/1503.08479.pdf,https://scholar.google.com/scholar?q=%22Active+Authentication+on+Mobile+Devices+via+Stylometry%2C+Application+Usage%2C+Web+Browsing%2C+and+GPS+Location%22,"<p>@article{fridman2016active, &nbsp;title={Active authentication on mobile devices via stylometry, application usage, web browsing, and GPS location}, &nbsp;author={Fridman, Lex and Weber, Steven and Greenstadt, Rachel and Kam, Moshe}, &nbsp;journal={IEEE Systems Journal}, &nbsp;year={2016}, &nbsp;publisher={IEEE}}</p>",
 Arguing Machines: Human Supervision of Black Box AI Systems,arguing-machines-human-supervision-of-black-box-ai-systems,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a3c5b65196905e4fadb68c,false,false,Tue May 18 2021 13:48:38 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:51:10 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:05:01 GMT+0000 (Coordinated Universal Time),Framework for providing human supervision of a black box AI system that makes life-critical decisions. We demonstrate this approach on two applications: (1) image classification and (2) real-world data of AI-assisted steering in Tesla vehicles.,https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a3c5c5ebe2250b8228a0f9_2018_arguing_machines_human_supervision_of_black_box.png,https://www.youtube.com/watch?v=YBvcKtLKNAw&list=PLrAXtmErZgOfvrgXrKgzAFbqAW-lCG0Fv,https://arxiv.org/pdf/1710.04459.pdf,https://scholar.google.com/scholar?q=%22Arguing+Machines%3A+Human+Supervision+of+Black+Box+AI+Systems+That+Make+Life-Critical+Decisions%22,"<p>@article{fridman2018arguing, &nbsp;<br>author = {Lex Fridman and Li Ding and Benedikt Jenik and Bryan Reimer}, &nbsp;<br>title = {Arguing Machines: Human Supervision of Black Box AI Systems That Make Life-Critical Decisions}, &nbsp;<br>journal = {CoRR}, &nbsp;<br>volume = {abs/1710.04459}, &nbsp;<br>year = {2019}, &nbsp;<br>url = {http://arxiv.org/abs/1710.04459}, &nbsp;<br>archivePrefix = {arXiv}, &nbsp;<br>eprint = {1710.04459}<br>}</p>",
Automated Synchronization of Driving Data Using Vibration and Steering Events,automated-synchronization-of-driving-data-using-vibration-and-steering-events,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a3ca6ad5cb1734e018a741,false,false,Tue May 18 2021 14:08:42 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:08:42 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:02 GMT+0000 (Coordinated Universal Time),"A method for automated synchronization of vehicle sensors using accelerometer, telemetry, audio, and dense optical flow from three video sensors.",https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a3ca26e89984e6202f401d_2016_automated_synchronization_of_driving_data_using.png,https://www.youtube.com/watch?v=a96PO823veM&list=PLrAXtmErZgOfvrgXrKgzAFbqAW-lCG0Fv,https://arxiv.org/pdf/1510.06113.pdf,https://scholar.google.com/scholar?q=%22Automated+Synchronization+of+Driving+Data+Using+Vibration+and+Steering+Events%22,"<p>@article{fridman2016automated, &nbsp;<br>title={Automated synchronization of driving data using vibration and steering events}, &nbsp;<br>author={Fridman, Lex and Brown, Daniel E and Angell, William and Abdi{'c}, Irman and Reimer, Bryan and Noh, Hae Young}, &nbsp;<br>journal={Pattern Recognition Letters}, &nbsp;<br>volume={75}, &nbsp;<br>pages={9--15}, &nbsp;<br>year={2016}, &nbsp;<br>publisher={Elsevier}<br>}</p>",
 Cognitive Load Estimation in the Wild,cognitive-load-estimation-in-the-wild,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a4727839bd2eb3f55bfbe5,false,false,Wed May 19 2021 02:05:44 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:05:44 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:05:52 GMT+0000 (Coordinated Universal Time),Winner of the CHI 2018 Honorable Mention Award. We propose two novel vision-based methods for cognitive load estimation and evaluate them on a large-scale dataset collected under real-world driving conditions.,https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a47255686b424f738e9286_2018_cognitive_load_estimation_in_the_wild.png,,https://www.researchgate.net/publication/324658835_Cognitive_Load_Estimation_in_the_Wild,https://scholar.google.com/scholar?q=%22Cognitive+Load+Estimation+in+the+Wild%22‍,"<p>@inproceedings{fridman2018cognitive, &nbsp;title={Cognitive Load Estimation in the Wild}, &nbsp;author={Fridman, Lex and Reimer, Bryan and Mehler, Bruce and Freeman, William T}, &nbsp;booktitle={Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems}, &nbsp;pages={652}, &nbsp;year={2018}, &nbsp;organization={ACM}}</p>",
Crowdsourced Assessment of External Vehicle-to-Pedestrian Displays,crowdsourced-assessment-of-external-vehicle-to-pedestrian-displays,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a3ccc075f7dd5cbbf10875,false,false,Tue May 18 2021 14:18:40 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:20:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:21:02 GMT+0000 (Coordinated Universal Time),"30 external vehicle-to-pedestrian display concepts for autonomous vehicles were evaluated. Simple, minimalist displays performed best.",https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a3cce43300b694180cb175_2019_ehmi_crowdsourced_assessment_of_external_vehicle_displays.png,,https://arxiv.org/pdf/1707.02698.pdf,https://scholar.google.com/scholar?q=%22To+Walk+or+Not+to+Walk%3A+Crowdsourced+Assessment+of+External+Vehicle-to-Pedestrian+Displays%22,"<p>@inproceedings{fridman2019walk, &nbsp; <br>author={Fridman, Lex and Mehler, Bruce and Xia, Lei and Yang, Yangyang and Facusse, Laura Yvonne and Reimer, Bryan}, &nbsp; <br>year={2019}, &nbsp; <br>title={To Walk or Not to Walk: Crowdsourced Assessment of External Vehicle-to-Pedestrian Displays}, &nbsp; <br>booktitle={Proceedings of The Transportation Research Board 98th Annual Meeting}, &nbsp; <br>address={Washington, DC}<br>}</p>",
 DeepTraffic,deeptraffic,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a4718f2eb2699f0de4d14b,false,false,Wed May 19 2021 02:01:51 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:01:51 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:03:17 GMT+0000 (Coordinated Universal Time),"Traffic simulation and optimization with deep reinforcement learning. Primary goal is to make the hands-on study of deep RL accessible to thousands of students, educators, and researchers.",https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a4716f4841320ade82d6c3_2018_deeptraffic_driving_fast_through_dense_traffic.png,,https://arxiv.org/pdf/1801.02805.pdf,https://scholar.google.com/scholar?q=%22DeepTraffic%3A+Crowdsourced+Hyperparameter+Tuning+of+Deep+Reinforcement+Learning+Systems+for+Multi-Agent+Dense+Traffic+Navigation%22,"<p>@inproceedings{fridman2018deeptraffic,author = {Lex Fridman and Jack Terwilliger and Benedikt Jenik},title = {DeepTraffic: Crowdsourced Hyperparameter Tuning of Deep Reinforcement Learning Systems for Multi-Agent Dense Traffic Navigation},booktitle = {Neural Information Processing Systems (NIPS 2018) Deep Reinforcement Learning Workshop}year = {2018},url = {http://arxiv.org/abs/1801.02805},doi = {10.5281/zenodo.2530457}archivePrefix = {arXiv},}</p>",
Driver Gaze Region Estimation without Use of Eye Movement,driver-gaze-region-estimation-without-use-of-eye-movement,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a46e60afa53920cce0f4ea,false,false,Wed May 19 2021 01:48:16 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:48:16 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:03:17 GMT+0000 (Coordinated Universal Time),"We propose a simplification of the general gaze estimation task by framing it as a gaze region estimation task in the driving context, thereby making it amenable to machine learning approaches. We go on to describe and evaluate one such learning-based approach.",https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a46e0f0d802a3a85209af4_2016_driver_gaze_region_estimation_without_use_of_eye.png,https://www.youtube.com/watch?v=ShxbqjnsB8c&list=PLrAXtmErZgOfvrgXrKgzAFbqAW-lCG0Fv,https://arxiv.org/pdf/1507.04760.pdf,https://scholar.google.com/scholar?q=%22Driver+Gaze+Region+Estimation+without+Use+of+Eye+Movement%22,"<p>@article{fridman2016driver, &nbsp;<br>title={Driver Gaze Region Estimation without Use of Eye Movement}, &nbsp;<br>author={Fridman, Lex and Langhans, Philipp and Lee, Joonbum and Reimer, Bryan}, &nbsp;<br>journal={IEEE Intelligent Systems}, &nbsp;<br>volume={31}, &nbsp;<br>number={3}, &nbsp;pages={49--56}, &nbsp;<br>year={2016}, &nbsp;<br>publisher={IEEE}<br>}</p>",
 Human-Centered Autonomous Vehicle Systems,human-centered-autonomous-vehicle-systems,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a46dda9d67357e3d6b44e9,false,false,Wed May 19 2021 01:46:02 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:46:02 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:46:12 GMT+0000 (Coordinated Universal Time),"We propose a set of shared autonomy principles for designing and building autonomous vehicle systems in a human-centered way, and demonstrate these principles on a full-scale semi-autonomous vehicle.",https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a46d9a985191366105f375_2018_human_centered_autonomous_vehicle_systems_principles.png,https://www.youtube.com/watch?v=OoC8oH0CLGc&list=PLrAXtmErZgOfvrgXrKgzAFbqAW-lCG0Fv,https://arxiv.org/pdf/1810.01835.pdf,https://scholar.google.com/scholar?q=%22Human-Centered+Autonomous+Vehicle+Systems%3A+Principles+of+Effective+Shared+Autonomy%22,"<p>@article{fridman2018humancentered,author = {Lex Fridman},<br>title = &nbsp;{Human-Centered Autonomous Vehicle Systems: Principles of Effective Shared Autonomy},<br>journal = {CoRR},volume = &nbsp;{abs/1810.01835},<br>year = &nbsp; &nbsp;{2018},url = &nbsp; &nbsp; {https://arxiv.org/abs/1810.01835},<br>archivePrefix = {arXiv},eprint = &nbsp;{1810.01835}<br>}</p>",
 MIT Advanced Vehicle Technology Study,mit-advanced-vehicle-technology-study,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a46edc89b043566a584c3a,false,false,Wed May 19 2021 01:50:20 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:51:16 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:03:17 GMT+0000 (Coordinated Universal Time),Large-scale real-world AI-assisted driving data collection study to understand how human-AI interaction in driving can be safe and enjoyable. The emphasis is on computer vision based analysis of driver behavior in the context of automation use.,https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a46eb62eb2693251e4cade_2018_mit_autonomous_vehicle_technology_study_large_scale.png,https://www.youtube.com/watch?v=bzn7YEvoUaU&list=PLrAXtmErZgOfvrgXrKgzAFbqAW-lCG0Fv,https://arxiv.org/pdf/1711.06976.pdf,https://scholar.google.com/scholar?q=%22MIT+Advanced+Vehicle+Technology+Study%3A+Large-Scale+Naturalistic+Driving+Study+of+Driver+Behavior+and+Interaction+With+Automation%22,"<p>@article{fridman2019avt,author = {Lex Fridman, Daniel E. Brown, Michael Glazer, William Angell, Spencer Dodd, Benedikt Jenik, Jack Terwilliger, Aleksandr Patsekin, Julia Kindelsberger, Li Ding, Sean Seaman, Alea Mehler, Andrew Sipperley, Anthony Pettinato, Bobbie Seppelt, Linda Angell, Bruce Mehler, Bryan Reimer},title = &nbsp;{MIT Advanced Vehicle Technology Study: Large-Scale Naturalistic Driving Study of Driver Behavior and Interaction With Automation},journal={IEEE Access}, year={2019}, volume={7}, number={}, pages={102021-102038}, doi={10.1109/ACCESS.2019.2926040}, ISSN={2169-3536}, month={},}</p>",https://lexfridman.com/avt/
 What Can Be Predicted from 6 Seconds of Driver Glances?,what-can-be-predicted-from-6-seconds-of-driver-glances,60a3c59a3bf00e5f355d403c,653ad21be882f528b306da98,60a472358522722beb6be60f,false,false,Wed May 19 2021 02:04:36 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:04:36 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 02:05:52 GMT+0000 (Coordinated Universal Time),"Winner of the CHI 2017 Best Paper Award. We consider a dataset of real-world, on-road driving to explore the predictive power of driver glances.",https://uploads-ssl.webflow.com/60a39377f2e741cd6c201ac3/60a4721d8b87c232bcac872a_2017_what_can_be_predicted_from_6_seconds_of_driver_glances.png,,https://arxiv.org/pdf/1611.08754.pdf,https://scholar.google.com/scholar?q=%22What+Can+Be+Predicted+from+6+Seconds+of+Driver+Glances%3F%22,"<p>@inproceedings{fridman2017can, &nbsp;title={What Can Be Predicted from Six Seconds of Driver Glances?}, &nbsp;author={Fridman, Lex and Toyoda, Heishiro and Seaman, Sean and Seppelt, Bobbie and Angell, Linda and Lee, Joonbum and Mehler, Bruce and Reimer, Bryan}, &nbsp;booktitle={Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems}, &nbsp;pages={2805--2813}, &nbsp;year={2017}, &nbsp;organization={ACM}}</p>",
